unix,price,signal,pnl
2016-07-29 07:10:00,655.76,0,
2016-07-29 07:11:00,655.22,0,
2016-07-29 07:12:00,654.85,0,
2016-07-29 07:13:00,655.15,0,
2016-07-29 07:14:00,655.47,0,
2016-07-29 07:15:00,655.16,0,
2016-07-29 07:16:00,655.77,0,
2016-07-29 07:17:00,655.77,0,
2016-07-29 07:18:00,655.98,0,
2016-07-29 07:19:00,656.0,0,
2016-07-29 07:20:00,655.55,0,
2016-07-29 07:21:00,656.72,0,
2016-07-29 07:22:00,656.5,0,
2016-07-29 07:23:00,655.57,0,
2016-07-29 07:24:00,655.51,0,
2016-07-29 07:25:00,655.27,0,
2016-07-29 07:26:00,655.5,0,
2016-07-29 07:27:00,655.39,0,
2016-07-29 07:28:00,655.31,0,
2016-07-29 07:29:00,655.99,0,
2016-07-29 07:30:00,655.46,0,
2016-07-29 07:31:00,656.14,0,
2016-07-29 07:32:00,656.11,0,
2016-07-29 07:33:00,654.97,0,
2016-07-29 07:34:00,654.93,0,
2016-07-29 07:35:00,655.96,0,
2016-07-29 07:36:00,654.96,0,
2016-07-29 07:37:00,655.17,0,
2016-07-29 07:38:00,654.92,0,
2016-07-29 07:39:00,655.98,0,
2016-07-29 07:40:00,655.3,0,
2016-07-29 07:41:00,655.3,0,
2016-07-29 07:42:00,655.51,0,
2016-07-29 07:43:00,656.1,0,
2016-07-29 07:44:00,654.68,0,
2016-07-29 07:45:00,655.61,0,
2016-07-29 07:46:00,654.54,0,
2016-07-29 07:47:00,654.54,0,
2016-07-29 07:48:00,655.21,0,
2016-07-29 07:49:00,655.25,0,
2016-07-29 07:50:00,654.73,0,
2016-07-29 07:51:00,654.54,0,
2016-07-29 07:52:00,654.54,0,
2016-07-29 07:53:00,655.0,0,
2016-07-29 07:54:00,654.54,0,
2016-07-29 07:55:00,654.54,0,
2016-07-29 07:56:00,655.42,0,
2016-07-29 07:57:00,655.14,0,
2016-07-29 07:58:00,656.76,0,
2016-07-29 07:59:00,656.71,0,
2016-07-29 08:00:00,655.77,0,
2016-07-29 08:01:00,656.0,0,
2016-07-29 08:02:00,655.69,0,
2016-07-29 08:03:00,655.53,0,
2016-07-29 08:04:00,655.25,0,
2016-07-29 08:05:00,655.29,0,
2016-07-29 08:06:00,655.29,0,
2016-07-29 08:07:00,655.29,0,
2016-07-29 08:08:00,656.0,0,
2016-07-29 08:09:00,655.65,0,
2016-07-29 08:10:00,656.0,0,
2016-07-29 08:11:00,656.0,0,
2016-07-29 08:12:00,655.99,0,
2016-07-29 08:13:00,656.0,0,
2016-07-29 08:14:00,655.99,0,
2016-07-29 08:15:00,655.99,0,
2016-07-29 08:16:00,655.99,0,
2016-07-29 08:17:00,655.99,0,
2016-07-29 08:18:00,655.99,0,
2016-07-29 08:19:00,655.99,0,
2016-07-29 08:20:00,656.0,0,
2016-07-29 08:21:00,656.0,0,
2016-07-29 08:22:00,656.0,0,
2016-07-29 08:23:00,656.0,0,
2016-07-29 08:24:00,655.84,0,
2016-07-29 08:25:00,655.61,0,
2016-07-29 08:26:00,656.0,0,
2016-07-29 08:27:00,655.98,0,
2016-07-29 08:28:00,655.98,0,
2016-07-29 08:29:00,655.65,0,
2016-07-29 08:30:00,655.87,0,
2016-07-29 08:31:00,655.87,0,
2016-07-29 08:32:00,656.17,0,
2016-07-29 08:33:00,656.17,0,
2016-07-29 08:34:00,655.66,0,
2016-07-29 08:35:00,655.66,0,
2016-07-29 08:36:00,655.66,0,
2016-07-29 08:37:00,656.08,0,
2016-07-29 08:38:00,656.08,0,
2016-07-29 08:39:00,656.73,0,
2016-07-29 08:40:00,655.32,0,
2016-07-29 08:41:00,655.34,0,
2016-07-29 08:42:00,656.74,0,
2016-07-29 08:43:00,655.32,0,
2016-07-29 08:44:00,655.34,0,
2016-07-29 08:45:00,655.55,0,
2016-07-29 08:46:00,656.67,0,
2016-07-29 08:47:00,655.45,0,
2016-07-29 08:48:00,655.3,0,
2016-07-29 08:49:00,655.11,0,
2016-07-29 08:50:00,656.5,0,
2016-07-29 08:51:00,656.55,0,
2016-07-29 08:52:00,656.53,0,
2016-07-29 08:53:00,656.5,0,
2016-07-29 08:54:00,656.49,0,
2016-07-29 08:55:00,656.25,0,
2016-07-29 08:56:00,655.44,0,
2016-07-29 08:57:00,656.2,0,
2016-07-29 08:58:00,655.73,0,
2016-07-29 08:59:00,655.65,0,
2016-07-29 09:00:00,655.61,0,
2016-07-29 09:01:00,655.08,0,
2016-07-29 09:02:00,655.08,0,
2016-07-29 09:03:00,655.91,0,
2016-07-29 09:04:00,655.08,0,
2016-07-29 09:05:00,655.44,0,
2016-07-29 09:06:00,655.44,0,
